"Continue with TendoPay","Continue with TendoPay"
"The minimum purchase amount is ₱100. Please increase your cart total.","The minimum purchase amount is ₱100. Please increase your cart total."
"Min Total Order Amount %1₱","Min Total Order Amount %1₱"
